redcap_data_access_group_e,redcap_data_access_group_unlabelled,dag_id_e,place_name,postcode,country,lon,lat,ccg,tds_mean,postcode_start,city,imd_average_postcodes_new,all_people,ccg_name,updated_all_age_mid_2018,multiplication_factor,scotland_average_imd_rank,average_imd_rank,wales_average_imd_rank,wimd15
Cardiff and Vale University Health Board,cardiff_and_vale_u,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.5067958,W11000029,0.2852880774520998,CF14,Cardiff,1040.481217191601,496413,Cardiff and Vale University Health Board,496413,1.0507740894870308,NA,4,4,NA
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,01452,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,31.94540754
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,04152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,31.94540754
Aneurin Bevan University Health Board,aneurin_bevan_univ,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.6624976,W11000028,-0.11906711624574683,NP11,Caerphilly,839.2555731549924,591225,Aneurin Bevan University Health Board,591225,1.0250904198323723,NA,5,5,NA
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,4.9936313463509014,NW1,Camden,16052.945986403043,262226,NHS Camden CCG,262226,1.1901079250968967,NA,94,NA,NA
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14152,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,31.94540754
The Pennine Acute Hospitals NHS Trust,the_pennine_acute,14153,The Pennine Acute Hospitals NHS Trust,M8 5RB,England,-2.2294865,53.5178824,E38000217,3.3886492428788495,M8,Manchester,6931.867791364734,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,31.94540754
Alder Hey Children's Hospital,alder_hey_children,CBS25,Alder Hey Children's Hospital,L14 5AB,England,-2.8959056,53.4182405,E38000101,2.94159140577737,L14,Liverpool,8532.415682677978,494813.99999999994,NHS Liverpool CCG,494814,1.0608878359400962,NA,6,NA,36.82340586
"Queen Elizabeth University Hospital, Glasgow",queen_elizabeth_un,GN405,"Queen Elizabeth University Hospital, Glasgow",G51 4TF,Scotland,-4.3404361,55.8624213,S08000031,3.019275767976359,G51,Glasgow,2318.6194634568483,1174980,Greater Glasgow and Clyde,1174980,0.9683305203196286,2,2,NA,NA
Aberdeen Royal Infirmary,aberdeen_royal_inf,N100H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1359876,57.1546176,S08000020,-0.34231016921157476,AB25,Aberdeen,4395.31208499336,584550,Grampian,584550,1.0272185231460247,14,14,NA,NA
Livewell Southwest,livewell_southwest,NR501,Livewell Southwest,NA,NA,-108.5624256,37.3486428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manchester University Hospital,manchester_univers,R0A01,Manchester University Hospital,M23 9LT,England,-2.293175,53.3888321,E38000217,3.3886492428788495,M23,Manchester,6931.867791364734,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,24.43053572
Worcestershire Health and Care NHS Trust,worcestershire_hea,R1A0C,Worcestershire Health and Care NHS Trust,WR5 1JR,England,-2.1798262,52.1924829,E38000166,-1.381885032945201,WR5,Worcester,18026.18422939068,307344,NHS South Worcestershire CCG,307344,1.0585548816399912,NA,130,NA,20.49980553
Torbay and south Devon Hospital,torbay_and_south_d,RA009,Torbay and south Devon Hospital,TQ2 7TD,England,-3.552757,50.4877399,E38000230,-0.9462035169519096,TQ2,Torbay,15893.936825769333,1194166,NHS Devon CCG,1194166,1.0532960761795893,NA,98,NA,19.7902124
Weston Area Health NHS Trust,weston_area_health,RA7C2,Weston Area Health NHS Trust,BS23 4TQ,England,-2.9725926,51.32237,E38000222,-0.29553926527199337,BS23,North Somerset,17490.317487720662,959967.9999999999,"NHS Bristol, North Somerset and South Gloucestershire CCG",959968,1.0743100405453647,NA,118,NA,18.43949181
Weston Area Health NHS Trust,weston_area_health,RA7C7,Weston Area Health NHS Trust,BS23 4TQ,England,-2.9725926,51.32237,E38000222,-0.29553926527199337,BS23,North Somerset,17490.317487720662,959967.9999999999,"NHS Bristol, North Somerset and South Gloucestershire CCG",959968,1.0743100405453647,NA,118,NA,18.43949181
Mid and South Essex University Hospitals Group,mid_and_south_esseb,RAJ02,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168,0.6785578474584543,SS1,Southend-on-Sea,14682.917420235455,182463,NHS Southend CCG,182463,1.050703106105103,NA,92,NA,19.70386927
Mid and South Essex University Hospitals Group,mid_and_south_esseb,RAT01,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168,0.6785578474584543,SS1,Southend-on-Sea,14682.917420235455,182463,NHS Southend CCG,182463,1.050703106105103,NA,92,NA,19.70386927
Shrewsbury & Telford Hospital NHS Trust,shrewsbury__telfor,RAWAS,Royal Shrewsbury Hospital,SY3 8XQ,England,-2.79373741149902,52.7093620300293,E38000147,-1.4797351692141338,SY3,Shropshire,17586.457890541977,320274,NHS Shropshire CCG,320274,1.0462060111913605,NA,117,NA,20.40802757
Bedford Hospital NHS Trust,bedford_hospital_n,RC112,Bedford Hospital NHS Trust,MK42 9DJ,England,-0.4732228,52.1286828,E38000010,-0.6866261882686733,MK42,Bedford,19293.393673218674,455229,NHS Bedfordshire CCG,455229,1.1053003447773515,NA,156,NA,17.34081635
East Sussex Healthcare NHS Trust,east_sussex_health,RCX01,East Sussex Healthcare NHS Trust,TN37 7PT,England,0.5681561,50.8849912,E38000076,0.030220124110404877,TN37,Hastings,12744.768688683156,188511,NHS Hastings and Rother CCG,188511,1.0424071841718185,NA,56,NA,18.45188995
Royal United Hospitals Bath NHSFT,royal_united_hospi,RD120,Royal United Hospitals Bath NHSFT,BA1 3NG,England,-2.3907418,51.3918072,E38000009,-0.708328537491947,BA1,Bath and North East Somerset,22720.443526739626,192106,NHS Bath and North East Somerset CCG,192106,1.0914121443505136,NA,180,NA,17.32128681
Poole Hospital NHS Trust,poole_hospital_nhs,RD300,Poole Hospital NHS Trust,BH15 2JB,England,-1.9737912,50.7213497,E38000045,-0.9709586146820578,BH15,Poole,17930.24531962363,772268,NHS Dorset CCG,772268,1.0379374254913372,NA,134,NA,16.56564718
Harrogate District Hospital,harrogate_district,RDC01,Harrogate District Hospital,HG2 7SX,England,-1.5176764,53.9936396,E38000073,-1.5121237908628848,HG2,Harrogate,22220.484355125922,160533,NHS Harrogate and Rural District CCG,160533,1.0168747505843452,NA,182,NA,19.77323534
Basildon and Thurrock University Hospitals NHS,basildon_and_thurr,RDHH0,Basildon and Thurrock University Hospitals NHS,SS16 5NL,England,0.4516979,51.55796,E38000007,-0.34131210197783873,SS16,Basildon,18777.40010970927,262412,NHS Basildon and Brentwood CCG,262412,1.0576949431273126,NA,116,NA,19.9555508
Ipswich Hospital,ipswich_hospital,RED03,Ipswich Hospital,IP4 5PD,England,1.1981153,52.0579075,E38000086,-1.1322339260994552,IP4,Ipswich,17970.836424679397,409248,NHS Ipswich and East Suffolk CCG,409248,1.0398934818624412,NA,124,NA,19.34137628
Aintree University Hospital,aintree_university,REM20,Aintree University Hospital,L9 7AL,England,-2.9317603,53.4656706,E38000101,2.94159140577737,L9,Liverpool,8532.415682677978,494813.99999999994,NHS Liverpool CCG,494814,1.0608878359400962,NA,6,NA,26.47323304
Cornwall Partnership NHSFT,cornwall_partnersh,RJ827,Cornwall Partnership NHSFT,PL31 2QN,England,-4.7385973,50.470256,E38000089,-1.1106077720448335,PL31,Cornwall,12897.27258661031,568210,NHS Kernow CCG,568210,1.063116023918754,NA,63,NA,NA
Lewisham and Greenwich NHS Trust,lewisham_and_green,RJ2319,Lewisham and Greenwich NHS Trust,SE4 2LA,England,-0.0422111,51.4570454,E38000098,4.080341077194303,SE4,Lewisham,10285.086181818182,303536,NHS Lewisham CCG,303536,1.1002265436685577,NA,29,NA,23.29614917
Imperial College Healthcare NHS Trust,imperial_college_h,RJY02,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202,3.6833235765625165,W2,Westminster,16902.72077979619,226099.00000000003,NHS West London CCG,226099,1.0247463050503312,NA,78,NA,18.72961317
George Eliot Hospital,george_eliot_hospi,RL101,George Eliot Hospital,CV10 7DJ,England,-1.4760659,52.5118749,E38000195,-0.6463985156566265,CV10,Nuneaton & Bedworth,14012.218639262934,193752,NHS Warwickshire North CCG,193752,1.034635224760501,NA,84,NA,20.79574674
Wirral University Teaching Hospital NHFT,wirral_university,RLB14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.370429,E38000208,-0.03450409333656787,CH49,Wirral,12809.24603250478,323235,NHS Wirral CCG,323235,1.0107948202374735,NA,60,NA,26.17837122
George Eliot Hospital,george_eliot_hospi,RLR01,George Eliot Hospital,CV10 7DJ,England,-1.4760659,52.5118749,E38000195,-0.6463985156566265,CV10,Nuneaton & Bedworth,14012.218639262934,193752,NHS Warwickshire North CCG,193752,1.034635224760501,NA,84,NA,20.79574674
Whiston Hospital,whiston_hospital,RMN01,Whiston Hospital,L35 5DR,England,-2.7853229,53.4212302,E38000091,1.4070944920314978,L35,Knowsley,5921.0394257553035,149571,NHS Knowsley CCG,149571,1.0252102568320618,NA,4,NA,26.48713247
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",chelsea__westminst,RMQ01,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202,3.6833235765625165,SW10,Kensington and Chelsea,16902.72077979619,226099.00000000003,NHS West London CCG,226099,1.0247463050503312,NA,78,NA,19.88733045
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",chelsea__westminst,RMQ91,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202,3.6833235765625165,SW10,Kensington and Chelsea,16902.72077979619,226099.00000000003,NHS West London CCG,226099,1.0247463050503312,NA,78,NA,19.88733045
Dartford and Gravesham NHS Trust,dartford_and_grave,RN070,Dartford and Gravesham NHS Trust,DA2 8DA,England,0.2589221,51.4353686,E38000043,-0.07062724620509174,DA2,Dartford,16861.133497027655,264478,"NHS Dartford, Gravesham and Swanley CCG",264478,1.075118191537364,NA,103,NA,NA
North West Anglia NHSFT,north_west_anglia,RNG90,Peterborough City Hospital,PE3 9GZ,England,-0.2785687,52.5837926,E38000026,-0.732581452258259,PE3,Peterborough,20399.11658448095,889111.9999999999,NHS Cambridgeshire and Peterborough CCG,889112,1.0599177445312034,NA,143,NA,18.29080498
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNN62,North Cumbria Integrated Care NHSFT,CA11 7QE,England,-2.753599,54.667373,E38000215,-1.3126112651783879,CA11,Eden,15108.37959132506,318631,NHS North Cumbria CCG,318631,0.6297827006471148,NA,86,NA,NA
West Cumberland Hospital,west_cumberland_ho,RNNBX,West Cumberland Hospital,CA28 8JG,England,-3.5631756,54.5302041,E38000215,-1.3126112651783879,CA28,Copeland,15108.37959132506,318631,NHS North Cumbria CCG,318631,0.6297827006471148,NA,86,NA,22.94454837
Royal Preston Hospital,royal_preston_hosp,RNX02,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,0.164363765873978,PR2,Preston,13689.163659961065,202562,NHS Greater Preston CCG,202562,1.0045127248923889,NA,85,NA,24.60487045
Homerton University Hospital,homerton_universit,RQZM1,Homerton University Hospital,E9 6SR,England,-0.0461232,51.5504182,E38000035,4.703750131040954,E9,Hackney,14048.93409174312,288371,NHS City and Hackney CCG,288371,1.1369078830649135,NA,9,NA,25.09779396
University Hospitals Birmingham,university_hospitag,RRK02,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,1.6044457153363676,B15,Birmingham,11080.681511230106,1179020,NHS Birmingham and Solihull CCG,1179020,1.0540412723018924,NA,20,NA,22.36155783
University Hospitals Birmingham,university_hospitag,RRK03,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,1.6044457153363676,B15,Birmingham,11080.681511230106,1179020,NHS Birmingham and Solihull CCG,1179020,1.0540412723018924,NA,20,NA,22.36155783
Wirral University Teaching Hospital NHFT,wirral_university,RRL14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.370429,E38000208,-0.03450409333656787,CH49,Wirral,12809.24603250478,323235,NHS Wirral CCG,323235,1.0107948202374735,NA,60,NA,26.17837122
North West Boroughs Healthcare NHSFT,north_west_borough,RTV33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,-0.018768137689710203,WA2,Warrington,16683.142804518666,209546.99999999997,NHS Warrington CCG,209547,1.0361918230907687,NA,126,NA,NA
East Kent Hospitals NHSFT,east_kent_hospital,RV001,William Harvey Hospital (Ashford),TN24 0LZ,England,0.916223049163818,51.141487121582,E38000002,-0.39039041968852745,TN24,Ashford,15518.462574326688,129281,NHS Ashford CCG,129281,1.0960103767506528,NA,109,NA,20.0538634
North West Boroughs Healthcare NHSFT,north_west_borough,RVT33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,-0.018768137689710203,WA2,Warrington,16683.142804518666,209546.99999999997,NHS Warrington CCG,209547,1.0361918230907687,NA,126,NA,NA
East Kent Hospitals NHSFT,east_kent_hospital,RVV00,Queen Elizabeth The Queen Mother Hospital,CT9 4AN,England,1.38939869403839,51.3780517578125,E38000184,0.8362759957351174,CT9,Kent,10709.07911576498,141819,NHS Thanet CCG,141819,1.0568837285558852,NA,28,NA,20.0538634
Lancashire & South Cumbria NHS Foundation Trust,lancashire__south,RW5JJ,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,0.164363765873978,PR2,Preston,13689.163659961065,202562,NHS Greater Preston CCG,202562,1.0045127248923889,NA,85,NA,24.60487045
The Princess Alexandra Hospital,NA,RWQG0,The Princess Alexandra Hospital,CM20 1QX,England,0.0858092,51.7710499,E38000197,-0.6309830884721978,CM20,Harlow,19791.474051191526,306910,NHS West Essex CCG,306910,1.0729393174524378,NA,148,NA,19.46649994
Leicester Royal Infirmary,university_hospitak,RWWAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1354407,52.6257466,E38000097,3.754855743517658,LE1,Leicester,9319.274472372468,355218,NHS Leicester City CCG,355218,1.0769435997562447,NA,18,NA,21.10790778
Cheshire and Wirral Partnership NHSFT,cheshire_and_wirra,RXADT,Cheshire and Wirral Partnership NHSFT,CH2 1BQ,England,-2.8998958,53.2120533,E38000196,-1.283603738783282,CH2,Cheshire West and Chester,17594.426404361224,234251,NHS West Cheshire CCG,234251,1.0300777007268778,NA,144,NA,23.24654306
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,the_queen_elizabet,RXC70,The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,PE30 4ET,England,0.4462463,52.7564633,E38000203,-0.8182545947655667,PE30,West Norfolk,12296.256241033,175904.00000000003,NHS West Norfolk CCG,175904,1.03474158519512,NA,62,NA,18.91172341
NUH Nottingham University Hosptial,nuh_nottingham_uni,RXICC,NUH Nottingham University Hosptial,NG5 1PB,England,-1.1570212,52.9904528,E38000132,3.2785971768079634,NG5,Nottingham,8126.121404813148,331069,NHS Nottingham City CCG,331069,1.0830574456948443,NA,10,NA,21.62513959
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,the_queen_elizabet,RXV70,The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,PE30 4ET,England,0.4462463,52.7564633,E38000203,-0.8182545947655667,PE30,West Norfolk,12296.256241033,175904.00000000003,NHS West Norfolk CCG,175904,1.03474158519512,NA,62,NA,18.91172341
Imperial College Healthcare NHS Trust,imperial_college_h,RYG03,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202,3.6833235765625165,W2,Westminster,16902.72077979619,226099.00000000003,NHS West London CCG,226099,1.0247463050503312,NA,78,NA,18.72961317
University Hospitals Coventry and Warwickshire,university_hospitai,RYGHQ,University Hospitals Coventry and Warwickshire,CV2 2DX,England,-1.4376872,52.4211586,E38000038,1.271060675231041,CV2,Coventry,14598.659818634138,473979,NHS Coventry and Rugby CCG,473979,1.1365448943134269,NA,81,NA,21.49988233
Imperial College Healthcare NHS Trust,imperial_college_h,RYI01,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202,3.6833235765625165,W2,Westminster,16902.72077979619,226099.00000000003,NHS West London CCG,226099,1.0247463050503312,NA,78,NA,18.72961317
Calderdale and Huddersfield NHS Trust,calderdale_and_hud,RYW01,Calderdale and Huddersfield NHS Trust,HD3 3EA,England,-1.8189892,53.6557163,E38000064,0.3338878268342915,HD3,Kirklees,15550.801026694046,245977,NHS Greater Huddersfield CCG,245977,1.0363864650439663,NA,89,NA,26.49275358
University Hospital of North Durham,university_hospitab,RZPCP,University Hospital of North Durham,DH1 5TW,England,-1.5933009,54.7885266,E38000116,-0.7281221053881309,DH1,County Durham,16013.41120354964,251666,NHS North Durham CCG,251666,1.0475433309468707,NA,88,NA,23.94938359
NHS Lothian,nhs_lothian,S341H,NHS Lothian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHS Lothian,nhs_lothian,SL116,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,0.2606861477440891,EH4,Edinburgh,4524.216276124129,897770,Lothian,897770,1.0760112662551686,11,11,NA,NA
Mid and South Essex University Hospitals Group,mid_and_south_esseb,TAJ01,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168,0.6785578474584543,SS1,Southend-on-Sea,14682.917420235455,182463,NHS Southend CCG,182463,1.050703106105103,NA,92,NA,19.70386927
University Hospitals of Leicester,university_hospitak,TWEAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1348028,52.6278166,E38000097,3.754855743517658,LE1,Leicester,9319.274472372468,355218,NHS Leicester City CCG,355218,1.0769435997562447,NA,18,NA,21.10790778
Bronglais General Hospital,bronglais_general,WB2AJ,Bronglais General Hospital,SY23 1ER,Wales,-4.0711821,52.4164121,W11000025,-1.364551584439131,SY23,Ceredigion,966.9665478790665,385615,Hywel Dda University Health Board,385615,1.009098807237176,NA,3,3,NA
Prince Philip Hospital,prince_philip_hosp,WB3AL,Prince Philip Hospital,SA14 8QF,Wales,-4.134687,51.6922205,W11000025,-1.364551584439131,SA14,Carmarthenshire,966.9665478790665,385615,Hywel Dda University Health Board,385615,1.009098807237176,NA,3,3,NA
Withybush General Hospital,withybush_general,WF1BL,Withybush General Hospital,SA61 2PZ,Wales,-4.9664014,51.8130048,W11000025,-1.364551584439131,SA61,Pembrokeshire,966.9665478790665,385615,Hywel Dda University Health Board,385615,1.009098807237176,NA,3,3,NA
Glan Clwyd Hospital,glan_clwyd_hospita,7A1A1,Ysbyty Glan Clwyd,LL18 5UJ,Wales,-3.4971896,53.2726551,W11000023,-0.6466191216551161,LL18,Conwy,1012.1948634325316,698369,Betsi Cadwaladr University Health Board,698369,1.0151641792780444,NA,2,2,NA
Wrexham Maelor Hospital,wrexham_maelor_hos,7A1A4,Wrexham Maelor Hospital,LL13 7TD,Wales,-3.0101803,53.0461734,W11000023,-0.6466191216551161,LL13,Wrexham,1012.1948634325316,698369,Betsi Cadwaladr University Health Board,698369,1.0151641792780444,NA,2,2,NA
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7A1AU,Ysbyty Gwynedd,LL57 2PW,Wales,-4.1577568,53.2086374,W11000023,-0.6466191216551161,LL57,Gwynedd,1012.1948634325316,698369,Betsi Cadwaladr University Health Board,698369,1.0151641792780444,NA,2,2,NA
Glanwili General Hospital,glanwili_general_h,7A2AA,Glangwili Hospital Child Health Section,SA31 2AF,Wales,-4.2833874,51.8673069,W11000025,-1.364551584439131,SA31,Carmarthenshire,966.9665478790665,385615,Hywel Dda University Health Board,385615,1.009098807237176,NA,3,3,NA
"Morriston Hospital, Swansea",morriston_hospital,7A3YA,Abertawe Bro Morgannwg University Lhb Bridgend Locality Office,CF31 3TP,Wales,-3.5506886,51.5024646,W11000030,-0.1734192073994886,CF31,Bridgend,816.2126795517786,445190,Cwm Taf Morgannwg University Health Board,445190,1.5183212146842557,NA,7,7,NA
University Hospital of Wales,university_hospitad,7A4BV,University Hospital Of Wales,CF14 4XW,Wales,-3.1889835,51.5062635,W11000029,0.2852880774520998,CF14,Cardiff,1040.481217191601,496413,Cardiff and Vale University Health Board,496413,1.0507740894870308,NA,4,4,NA
Cardiff and Vale University Health Board,cardiff_and_vale_u,7A4H1,Noahs Ark Childrens Hospital For Wales,CF14 4XW,Wales,-3.1889835,51.5062635,W11000029,0.2852880774520998,CF14,Cardiff,1040.481217191601,496413,Cardiff and Vale University Health Board,496413,1.0507740894870308,NA,4,4,NA
Cwm Taf Morgannwg University Health Board,cwm_taf_morgannwg,7A5B1,The Royal Glamorgan Hospital,CF72 8XR,Wales,-3.3905151,51.5479884,W11000030,-0.1734192073994886,CF72,Rhondda Cynon Taf,816.2126795517786,445190,Cwm Taf Morgannwg University Health Board,445190,1.5183212146842557,NA,7,7,NA
Cwm Taf Morgannwg University Health Board,cwm_taf_morgannwg,7A5B3,Prince Charles Hospital Site,CF47 9DT,Wales,-3.3861006,51.7643331,W11000030,-0.1734192073994886,CF47,Merthyr Tydfil,816.2126795517786,445190,Cwm Taf Morgannwg University Health Board,445190,1.5183212146842557,NA,7,7,NA
NHS Ayrshire and Arran,nhs_ayrshire_and_a,A111H,University Hospital Crosshouse,KA2 0BE,Scotland,-4.5401309,55.6135442,S08000015,-0.025508140941622744,KA2,East Ayrshire,2643.6560590094837,369670,Ayrshire and Arran,369670,0.9891841846127499,1,1,NA,NA
NHS Ayrshire and Arran,nhs_ayrshire_and_a,A210H,University Hospital Ayr,KA6 6DX,Scotland,-4.5939607,55.428935,S08000015,-0.5392163323203861,KA6,East Ayrshire,3124.622586439156,369670,Ayrshire and Arran,369670,0.9891841846127499,1,1,NA,NA
Borders General Hospital,borders_general_ho,B120H,Borders General Hospital,TD6 9BS,Scotland,-2.7419408,55.5954785,S08000016,-1.3371986376510818,TD6,Scottish Borders,3814.8522024729523,115270,Borders,115270,1.0122947220514622,10,10,NA,NA
Golden Jubilee National Hospital,golden_jubilee_nat,D102H,Golden Jubilee National Hospital,G81 4DY,Scotland,-4.4203539,55.9059298,S08000031,1.202392276795618,G81,West Dunbartonshire,2177.8489208633096,1174980,Greater Glasgow and Clyde,1174980,0.9683305203196286,2,2,NA,NA
Victoria Hospital Kirkcaldy,victoria_hospital,F701H,Cameron Hospital,KY8 5RR,Scotland,-3.0606955,56.1866783,S08000029,0.17353695425601268,KY8,Fife,2600.282911392405,371910,Fife,371910,1.0183790710792502,6,6,NA,NA
Victoria Hospital Kirkcaldy,victoria_hospital,F704H,Victoria Hospital,KY2 5AH,Scotland,-3.1601871,56.1244623,S08000029,0.17353695425601268,KY2,Fife,2600.282911392405,371910,Fife,371910,1.0183790710792502,6,6,NA,NA
Victoria Hospital Kirkcaldy,victoria_hospital,F708H,Adamson Hospital,KY15 4JG,Scotland,-3.0181746,56.3244035,S08000029,-1.0932333169974748,KY15,Fife,4120.599957912458,371910,Fife,371910,1.0183790710792502,6,6,NA,NA
Victoria Hospital Kirkcaldy,victoria_hospital,F716H,Glenrothes Hospital,KY7 5TG,Scotland,-3.182677,56.2049141,S08000029,-1.0932333169974748,KY7,Fife,4120.599957912458,371910,Fife,371910,1.0183790710792502,6,6,NA,NA
"Queen Elizabeth University Hospital, Glasgow University Hospital Monklands Airdrie",queen_elizabeth_un,G405H,Queen Elizabeth University Hospital,G51 4TF,Scotland,-4.3392518,55.8626363,S08000031,3.019275767976359,G51,Glasgow,2318.6194634568483,1174980,Greater Glasgow and Clyde,1174980,0.9683305203196286,2,2,NA,NA
Lanarkshire NHSFT,lanarkshire_nhsft,L106H,University Hospital Monklands,ML6 0JS,Scotland,-3.9998893,55.8657665,S08000032,0.6456173645753805,ML6,North Lanarkshire,2537.5623200329082,659200,Lanarkshire,659200,1.1471589890661409,3,3,NA,NA
Lanarkshire NHSFT,lanarkshire_nhsft,L302H,University Hospital Hairmyres,G75 8RG,Scotland,-4.221977,55.7594711,S08000032,-0.5648442316815383,G75,South Lanarkshire,3234.817940702851,659200,Lanarkshire,659200,1.1471589890661409,3,3,NA,NA
Lanarkshire NHSFT,lanarkshire_nhsft,L308H,University Hospital Wishaw,ML2 0DP,Scotland,-3.9420159,55.7736351,S08000032,0.6456173645753805,ML2,North Lanarkshire,2537.5623200329082,659200,Lanarkshire,659200,1.1471589890661409,3,3,NA,NA
Aberdeen Royal Infirmary,aberdeen_royal_inf,N101H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1372687,57.1546973,S08000020,-0.34231016921157476,AB25,Aberdeen,4395.31208499336,584550,Grampian,584550,1.0272185231460247,14,14,NA,NA
NHS Lothian,nhs_lothian,S116H,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,0.2606861477440891,EH4,Edinburgh,4524.216276124129,897770,Lothian,897770,1.0760112662551686,11,11,NA,NA
NHS Lothian,nhs_lothian,S308H,St John's Hospital,EH54 6PP,Scotland,-3.5235687,55.8914559,S08000024,-0.3838932582336999,EH54,West Lothian,3405.3798114689707,897770,Lothian,897770,1.0760112662551686,11,11,NA,NA
NHS Lothian,nhs_lothian,S314H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,0.2606861477440891,EH16,Edinburgh,4524.216276124129,897770,Lothian,897770,1.0760112662551686,11,11,NA,NA
