redcap_data_access_group_e,redcap_data_access_group_unlabelled,dag_id_e,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,all_people,ccg_name,updated_all_age_mid_2018,multiplication_factor,scotland_average_imd_rank,average_imd_rank,wales_average_imd_rank,wimd15
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden,16465.98531375167,4.355710042695594,262226,NHS Camden CCG,262226,1.1901079250968967,NA,94,NA,NA
Livewell Southwest,livewell_southwest,NR501,Mount Gould Hospital,PL4 7QD,England,-4.111707,50.3789894,E38000230,PL4,Plymouth,16386.417871222075,-1.0334518857634691,1194166,NHS Devon CCG,1194166,1.0532960761795893,NA,98,NA,NA
Manchester University Hospital,manchester_univers,R0A01,Manchester University Hospital,M15 6FH,England,-2.2369592,53.4655956,E38000217,M15,Manchester,6514.57908496732,3.1806041768614377,547627,NHS Manchester CCG,547627,1.088446853378968,NA,3,NA,NA
Cornwall Partnership NHSFT,cornwall_partnersh,RJ827,Cornwall Partnership NHSFT,PL31 2QN,England,-4.7385973,50.470256,E38000089,PL31,Cornwall,13376.637423653527,-1.130531639,568210,NHS Kernow CCG,568210,1.063116023918754,NA,63,NA,NA
Dartford and Gravesham NHS Trust,dartford_and_grave,RN070,Dartford and Gravesham NHS Trust,DA2 8DA,England,0.258883,51.4352521,E38000043,DA2,Dartford,17030.83821656051,-0.3755785139477707,264478,"NHS Dartford, Gravesham and Swanley CCG",264478,1.075118191537364,NA,103,NA,NA
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNN62,North Cumbria Integrated Care NHSFT,CA11 7QE,England,-2.753599,54.667373,E38000215,CA11,Eden,15099.182072829131,-1.2358682826984126,318631,NHS North Cumbria CCG,318631,0.6297827006471148,NA,86,NA,NA
North West Boroughs Healthcare NHSFT,north_west_borough,RTV33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington,18179.963581183612,-1.2147123573034901,209546.99999999997,NHS Warrington CCG,209547,1.0361918230907687,NA,126,NA,NA
North West Boroughs Healthcare NHSFT,north_west_borough,RVT33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,WA2,Warrington,18179.963581183612,-1.2147123573034901,209546.99999999997,NHS Warrington CCG,209547,1.0361918230907687,NA,126,NA,NA
East Lancashire Hospitals NHS Trust,east_lancashire_ho,RXR29,East Lancashire Hospitals NHS Trust,BB10 2PQ,England,-2.228172,53.809828,E38000050,BB10,Burnley,12276.483427647534,-0.30054400670088927,380013.00000000006,NHS East Lancashire CCG,380013,1.0236977931985691,NA,51,NA,NA
Manchester University Hospital,manchester_univers,R0A09,Trafford General Hospital,M41 5SL,England,-2.370682954788208,53.45406723022461,E38000187,M41,Trafford,20299.2585499316,-0.9630903067072504,236369.99999999997,NHS Trafford CCG,236370,1.0432169054365383,NA,151,NA,NA
Kingston Hospital NHS Foundation Trust,kingston_hospital,RAX01,Kingston Hospital,KT2 7QB,England,-0.2826094925403595,51.414825439453125,E38000090,KT2,Kingston upon Thames,23355.904,0.015334095020000004,175470,NHS Kingston CCG,175470,1.0962763963513682,NA,177,NA,NA
Luton and Dunstable,luton_and_dunstabl,RC971,Luton And Dunstable Hospital,LU4 0DZ,England,-0.47441545128822327,51.89414596557617,E38000102,LU4,Luton,12357.091680814941,1.819702514023769,214109,NHS Luton CCG,214109,1.0536808381848515,NA,45,NA,NA
York Teaching Hospital,york_teaching_hosp,RCBCA,Scarborough Hospital,YO12 6QL,England,-0.4347379803657532,54.281707763671875,E38000145,YO12,North Yorkshire,14236.59585492228,-0.4990067149248705,113338,NHS Scarborough and Ryedale CCG,113338,1.0279251580369857,NA,70,NA,NA
Liverpool Women's Hospital,liverpool_womens_h,REP01,Liverpool Women's Nhs Foundation Trust,L8 7SS,England,-2.9600625038146973,53.39846420288086,E38000101,L8,Liverpool,6823.02398989899,2.2652371023484847,494813.99999999994,NHS Liverpool CCG,494814,1.0608878359400962,NA,6,NA,NA
University Hospitals of North Midlands NHST,university_hospitam,RJE09,County Hospital,ST16 3SA,England,-2.0977704524993896,52.81129455566406,E38000173,ST16,Staffordshire,21518.03462321792,-1.7767061734501017,155803,NHS Stafford and Surrounds CCG,155803,1.0356281116436126,NA,165,NA,NA
Norfolk and Suffolk NHS Foundation Trust,norfolk_and_suffol,RMY01,Wellbeing Norfolk & Waveney,NR6 5BE,England,1.25088632106781,52.65953063964844,E38000218,NR6,Norfolk,16207.234463276836,-0.009029958108757055,219070.99999999997,NHS Norwich CCG,219071,1.1448527067775263,NA,97,NA,NA
Dartford and Gravesham NHS Trust,dartford_and_grave,RN707,Darent Valley Hospital,DA2 8DA,England,0.2586592435836792,51.43495178222656,E38000043,DA2,Dartford,17030.83821656051,-0.3755785139477707,264478,"NHS Dartford, Gravesham and Swanley CCG",264478,1.075118191537364,NA,103,NA,NA
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNNCB,Cockermouth Community Hospital,CA13 9HT,England,-3.3585805892944336,54.666812896728516,E38000215,CA13,Allerdale,15099.182072829131,-1.2358682826984126,318631,NHS North Cumbria CCG,318631,0.6297827006471148,NA,86,NA,NA
The Leeds Teaching Hospitals NHST,the_leeds_teaching,RR801,Leeds General Infirmary,LS1 3EX,England,-1.552119255065918,53.80146026611328,E38000225,LS1,Leeds,13898.734750098387,0.6415011318606848,789194.0000000001,NHS Leeds CCG,789194,1.05017931162964,NA,67,NA,NA
Cambridge and Peterborough NHS Foundation Trust,cambridge_and_pete,RT113,Fulbourn Hospital,CB21 5EF,England,0.18831537663936615,52.18449020385742,E38000026,CB21,Cambridge,19497.63372312335,-0.8667116029947189,889111.9999999999,NHS Cambridgeshire and Peterborough CCG,889112,1.0599177445312034,NA,143,NA,NA
Royal Brompton and Harefield NHFT,royal_brompton_and,RT301,Harefield Hospital,UB9 6JH,England,-0.4827539324760437,51.60673141479492,E38000082,UB9,South Buckinghamshire,17615.2319391635,0.9452373377617237,304824,NHS Hillingdon CCG,304824,1.112756264236902,NA,108,NA,NA
Northumbria Healthcare NHS Trust,northumbria_health,RTFED,Wansbeck General Hospital,NE63 9JJ,England,-1.5465863943099976,55.18431091308594,E38000130,NE63,Northumberland,15733.779520295204,-0.7297932944861624,320274,NHS Northumberland CCG,320274,1.0134355183717898,NA,93,NA,NA
Northumbria Healthcare NHS Trust,northumbria_health,RTFFS,North Tyneside General Hospital,NE29 8NH,England,-1.4673244953155518,55.02524185180664,E38000127,NE29,North Tyneside,15897.131994261119,-0.13619310152080344,205985,NHS North Tyneside CCG,205985,1.0258166044989816,NA,91,NA,NA
Gloucestershire Health and Care NHS Foundation Trust,gloucestershire_he,RTQ01,Charlton Lane Hospital,GL53 9DZ,England,-2.0736736,51.8810587,E38000062,GL53,Tewkesbury,20897.92703648176,-1.4434368805387305,633558,NHS Gloucestershire CCG,633558,1.0612646235074976,NA,154,NA,NA
Southern Health NHS Foundation Trust,southern_health_nh,RW154,Moorgreen Hospital,SO30 3JB,England,-1.3233729600906372,50.92864990234375,E38000198,SO30,Eastleigh,23661.762857142858,-1.9817289211451428,566879,NHS West Hampshire CCG,566879,1.0494300027028127,NA,181,NA,NA
Merseycare NHS Foundation Trust,merseycare_nhs_fou,RW404,Ashworth Hospital,L31 1HW,England,-2.9153599739074707,53.518672943115234,E38000161,L31,Sefton,11238.144444444444,0.3272274373407407,159237,NHS South Sefton CCG,159237,0.997950665563661,NA,37,NA,NA
Hull University Teaching Hospitals,hull_university_te,RWA01,Hull Royal Infirmary,HU3 2JZ,England,-0.35816898941993713,53.74443435668945,E38000085,HU3,Kingston upon Hull,7399.259085580305,2.205771658749121,260645.00000000003,NHS Hull CCG,260645,1.0165323744374157,NA,8,NA,NA
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",cumbria_northumber,RX4E4,St Nicholas Hospital,NE3 3XT,England,-1.6330841779708862,55.00648880004883,E38000212,NE3,Newcastle,12371.372524752474,1.2848071271590347,502704,NHS Newcastle Gateshead CCG,502704,1.046447581241114,NA,55,NA,NA
Birmingham Community Healthcare NHS Foundation Trust,birmingham_communi,RYW23,Moseley Hall Hospital,B13 8JL,England,-1.8928769826889038,52.445926666259766,E38000220,B13,Birmingham,10424.050087361677,1.3877220368322656,1179020,NHS Birmingham and Solihull CCG,1179020,1.0540412723018924,NA,20,NA,NA
Sheffield Health,sheffield_health,TAHFC,Michael Carlisle Centre,S11 9BF,England,-1.497589349746704,53.361412048339844,E38000146,S11,Sheffield,13922.003302146395,0.9015169744083654,582506,NHS Sheffield CCG,582506,1.0539318036251262,NA,68,NA,NA
Sheffield Health,sheffield_health,TAHXP,Grenoside Grange,S35 8QS,England,-1.49550199508667,53.436370849609375,E38000146,S35,Sheffield,13922.003302146395,0.9015169744083654,582506,NHS Sheffield CCG,582506,1.0539318036251262,NA,68,NA,NA
